;   Converted 2013 Feb 10 from a file provided by Jim Baer
;   See 'mu.txt' in ftp://cfa-ftp.harvard.edu/pub/MPC/BC405/ for
;   the original version (as well as the BC405 orbital elements and
;   some documentation.)  The following masses are in units of Sun=1.
;   Solar GM = 1.32712440018 x 10^20 (+/- 8 x 10^9) m^3/s^2
;   2016 Oct 3: replaced Ceres 4.755e-10 and Vesta 1.344e-10 with Dawn's
;   measurements: Ceres GM=62.68 km^3/s^2 = 4.72299e-10,  Vesta
;   (2.59076 +/- 0.00001)x10^20 kg =  1.30284e-10 solar masses
   328  1.320e-12  Gudrun
   769  4.254e-13  Tatjana
   181  8.465e-13  Eucharis
   221  7.965e-13  Eos
   491  3.248e-13  Carina
   349  1.941e-12  Dembowska
   148  3.293e-13  Gallia
   704  1.950e-11  Interamnia
   595  4.577e-13  Polyxena
   213  2.018e-13  Lilaea
   419  7.574e-13  Aurelia
   335  2.493e-13  Roberta
   114  3.489e-13  Kassandra
   233  3.830e-13  Asterope
   498  7.905e-13  Tokio
   914  1.586e-13  Palisana
    44  2.505e-13  Nysa
   790  1.744e-12  Pretoria
    76  2.185e-12  Freia
   420  9.941e-13  Bertholda
   106  1.111e-12  Dione
   130  3.320e-12  Elektra
    13  8.000e-12  Egeria
    87  7.430e-12  Sylvia
    51  1.140e-12  Nemausa
   773  3.109e-13  Irmintraud
   336  1.174e-13  Lacadiera
